НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ
Data Science / Machine Learning / AI / Big Data;https://vk.com/datascience_ai;148975449;5457;18793;15.09%;29.апр;
Data Mining | Анализ Данных;https://vk.com/datamining.team;94208167;4659;21470;12.88%;21.70;
MS Excel Tips&Tricks;https://vk.com/excel_tips_tricks;111634944;2834;100085;7.84%;фев.83;
Data Mining Labs;https://vk.com/odsai;49815762;1012;4033;2.80%;25.сен;
MS Excel: секреты профессионалов;https://vk.com/excel_subex;155269947;957;13364;2.65%;июл.16;
DataScience;https://vk.com/k0d_ds;11630416;890;4529;2.46%;19.65;
СУБД | Системы управления базами данных | IT;https://vk.com/linter_ru;87199162;753;7029;2.08%;окт.71;
ITworks для аналитиков;https://vk.com/1tworks;51760813;593;15990;1.64%;мар.71;
Помощь в Excel;https://vk.com/officeguru;67930095;500;15240;1.38%;мар.28;
Open Data Science Siberia;https://vk.com/odssib;153646673;488;1905;1.35%;25.62;
Карьера вместе с BIOCAD;https://vk.com/biocad_career;118488398;408;15840;1.13%;фев.58;
BIG GEEK;https://vk.com/biggeekru;49879051;400;149527;1.11%;0.27;
Future Biotech;https://vk.com/futurebiotech;39830937;337;9619;0.93%;мар.50;
BitJournal;https://vk.com/bitjournal;157037062;290;24168;0.80%;янв.20;
BiG_ASU;https://vk.com/big_asu;34039206;285;27228;0.79%;01.май;
MobiDevices.com;https://vk.com/mobidevices;17892518;268;34413;0.74%;0.78;
Администрирование: MikroTik, Ubiquiti, Провайдер;https://vk.com/mikrotik_os;26469243;244;13102;0.67%;янв.86;
SimbirSoft;https://vk.com/simbirsoft;45285702;231;10154;0.64%;фев.27;
Проектирование | Обследование | Геотехника | BIM;https://vk.com/ecgoroda;152526876;231;34231;0.64%;0.67;
Студия Аналитики;https://vk.com/studanal;86678270;209;181271;0.58%;0.12;
Qewbite;https://vk.com/qewbite;38629337;206;242517;0.57%;0.08;
MAD RABBIT;https://vk.com/zabeii;35734428;198;34715;0.55%;0.57;
RAZVEDOS: ОБЗОРЫ, АНАЛИЗ, РЕКОМЕНДАЦИИ;https://vk.com/club210068228;210068228;183;142844;0.51%;0.13;
Центр инженерно-физических расчетов и анализа;https://vk.com/multiphysics;43518900;179;5149;0.49%;мар.48;
Лаборатория анализа данных Александра Кукушкина;https://vk.com/kuklab;165155954;179;684;0.49%;26.17;
CyberBiology;https://vk.com/cyberbiology;167044850;175;5589;0.48%;мар.13;
Machine learning - Big data;https://vk.com/club99562019;99562019;173;664;0.48%;26.май;
Ubisoft;https://vk.com/ubisoft;41600377;172;164296;0.48%;0.10;
Бизнес в Excel;https://vk.com/excel_finance;35779770;170;10195;0.47%;янв.67;
FTDA - Финансовые технологии и анализ данных;https://vk.com/hseftda;167116837;170;869;0.47%;19.56;
Клуб анонимных аналитиков;https://vk.com/analyst_ba;211030031;170;2393;0.47%;07.окт;
Big Data;https://vk.com/big_dataru;210740677;168;2381;0.46%;07.июн;
BINANCE;https://vk.com/binance_btc;146743711;165;30705;0.46%;0.54;
Product Analytics | Продуктовая аналитика;https://vk.com/gameproductanalytics;165753333;158;1601;0.44%;сен.87;
Data Science Guy;https://vk.com/datascienceguy;195960434;142;539;0.39%;26.35;
IQBI — образовательный центр Аналитики и Данных;https://vk.com/iqbi_pro;185734253;129;2187;0.36%;май.90;
IDAO: International Data Analysis Olympiad;https://vk.com/club173225079;173225079;123;512;0.34%;24.фев;
